Depth (m),qc (MPa)
26.82,11.9120
26.84,12.2750
26.86,12.3690
26.88,12.2930
26.9,12.0800
26.92,2.2730
26.94,3.1910
26.96,4.0140
26.98,4.8450
27,5.3260
27.02,6.5280
27.04,8.6990
27.06,10.0980
27.08,10.4390
27.1,10.8160
27.12,11.2710
27.14,11.8170
27.16,12.3450
27.18,12.9420
27.2,12.9370
27.22,12.7520
27.24,12.8340
27.26,13.1030
27.28,13.3240
27.3,13.3060
27.32,13.1610
27.34,13.0050
27.36,12.5570
27.38,12.2350
27.4,11.9990
27.42,11.9030
27.44,11.8800
27.46,12.0100
27.48,12.3640
27.5,13.1570
27.52,13.6850
27.54,14.7440
27.56,15.3200
27.58,15.5540
27.6,15.7120
27.62,15.5590
27.64,15.6960
27.66,15.9230
27.68,16.0370
27.7,16.1720
27.72,16.1380
27.74,15.7910
27.76,15.3570
27.78,14.6350
27.8,14.3580
27.82,14.0090
27.84,14.0100
27.86,14.0960
27.88,13.9560
27.9,13.4330
27.92,13.0090
27.94,12.5130
27.96,11.8530
27.98,11.3690
28,10.6970
28.02,9.9470
28.04,9.5720
28.06,9.3370
28.08,9.0430
28.1,8.8290
28.12,8.6660
28.14,8.4670
28.16,8.5060
28.18,8.7410
28.2,9.4600
28.22,9.7290
28.24,9.3630
28.26,8.8800
28.28,8.8010
28.3,8.7230
28.32,8.6450
28.34,8.9990
28.36,9.2740
28.38,9.5200
28.4,9.7550
28.42,9.6470
28.44,9.4990
28.46,9.0990
28.48,8.7120
28.5,8.1000
28.52,7.7790
28.54,7.4670
28.56,7.2830
28.58,7.2000
28.6,7.2620
28.62,7.2890
28.64,7.3260
28.66,7.3550
28.68,7.5220
28.7,7.1760
28.72,6.7810
28.74,6.4470
28.76,6.3820
28.78,6.4310
28.8,6.7140
28.82,7.2870
28.84,7.7660
28.86,8.4350
28.88,8.7470
28.9,7.8700
28.92,7.1590
28.94,7.1380
28.96,7.1170
28.98,7.0950
29,6.7180
29.02,6.0700
29.04,5.6380
29.06,5.5600
29.08,5.4040
29.1,5.2480
29.12,5.0920
29.14,6.9710
29.16,8.1640
29.18,8.2390
29.2,8.0240
29.22,8.0630
29.24,8.6710
29.26,9.9000
29.28,10.9410
29.3,11.0640
29.32,10.6630
29.34,10.6620
29.36,11.3220
29.38,12.4800
29.4,13.3000
29.42,13.4200
29.44,13.3050
29.46,13.1560
29.48,12.9870
29.5,12.8550
29.52,12.6390
29.54,12.5860
29.56,12.5050
29.58,12.4460
29.6,12.3160
29.62,2.6160
29.64,3.5420
29.66,4.3990
29.68,5.0250
29.7,5.7640
29.72,6.4240
29.74,7.3740
29.76,8.5390
29.78,9.3800
29.8,9.7920
29.82,10.5910
29.84,11.0850
29.86,12.2020
29.88,12.8880
29.9,13.4390
29.92,13.9860
29.94,14.2240
29.96,14.3450
29.98,14.5340
30,14.7900
30.02,14.6730
30.04,14.3180
30.06,13.9090
30.08,13.5890
30.1,13.6380
30.12,13.6870
30.14,13.6190
30.16,13.2350
30.18,12.7690
30.2,11.7690
30.22,11.2770
30.24,10.6400
30.26,10.2210
30.28,10.0640
30.3,10.1860
